country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour,weekday,pollutant_range,aqi_category,season
India,Delhi,Delhi,"Rohini, Delhi - Dpcc",2026-03-13 15:00:00,28.732528,77.11992,Pm2.5,48.0,213.0,190.0,2026,3,13,15,Friday,165.0,N/A,Summer
India,Delhi,Delhi,"Okhla Phase-2, Delhi - Dpcc",2026-03-13 15:00:00,28.530785,77.271255,Co,4.0,61.0,13.0,2026,3,13,15,Friday,57.0,N/A,Summer
India,Delhi,Delhi,"Patparganj, Delhi - Dpcc",2026-03-13 15:00:00,28.623763,77.287209,Pm2.5,40.0,213.0,147.0,2026,3,13,15,Friday,173.0,N/A,Summer
India,Delhi,Delhi,"Vivek Vihar, Delhi - Dpcc",2026-03-13 15:00:00,28.672342,77.31526,Pm2.5,46.0,213.0,155.0,2026,3,13,15,Friday,167.0,N/A,Summer
India,Delhi,Delhi,"Vivek Vihar, Delhi - Dpcc",2026-03-13 15:00:00,28.672342,77.31526,Ozone,5.0,114.0,34.0,2026,3,13,15,Friday,109.0,N/A,Summer
India,Delhi,Delhi,"Patparganj, Delhi - Dpcc",2026-03-13 15:00:00,28.623763,77.287209,Ozone,2.0,114.0,44.0,2026,3,13,15,Friday,112.0,N/A,Summer
India,Delhi,Delhi,"Pusa, Delhi - Dpcc",2026-03-13 15:00:00,28.639652,77.146275,Pm10,145.0,214.5,211.0,2026,3,13,15,Friday,69.5,N/A,Summer
India,Delhi,Delhi,"Wazirpur, Delhi - Dpcc",2026-03-13 15:00:00,28.699793,77.165453,Nh3,12.0,15.0,13.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  Hspcb",2026-03-13 15:00:00,28.2068,76.7997,So2,5.0,8.0,7.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Haryana,Faridabad,"New Industrial Town, Faridabad - Hspcb",2026-03-13 15:00:00,28.39072,77.30059,Pm2.5,183.0,204.0,194.0,2026,3,13,15,Friday,21.0,N/A,Summer
India,Haryana,Faridabad,"Sector 30, Faridabad - Hspcb",2026-03-13 15:00:00,28.4417,77.3217,Nh3,10.0,12.0,11.0,2026,3,13,15,Friday,2.0,N/A,Summer
India,Haryana,Faridabad,"Sector 30, Faridabad - Hspcb",2026-03-13 15:00:00,28.4417,77.3217,So2,4.0,5.0,4.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - Hspcb",2026-03-13 15:00:00,29.503664,75.467934,Pm2.5,1.0,213.0,117.0,2026,3,13,15,Friday,212.0,N/A,Summer
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - Hspcb",2026-03-13 15:00:00,29.503664,75.467934,Pm10,2.5,214.5,136.0,2026,3,13,15,Friday,212.0,N/A,Summer
India,Haryana,Gurugram,"Nise Gwal Pahari, Gurugram - Imd",2026-03-13 15:00:00,28.422681,77.148944,Ozone,8.0,114.0,31.0,2026,3,13,15,Friday,106.0,N/A,Summer
India,Haryana,Palwal,"Shyam Nagar, Palwal - Hspcb",2026-03-13 15:00:00,28.1485564,77.3320667,Nh3,8.0,9.0,9.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Panchgaon,"Amity University, Panchgaon - Iitm",2026-03-13 15:00:00,28.3153,76.9143,Ozone,2.0,68.0,40.0,2026,3,13,15,Friday,66.0,N/A,Summer
India,Haryana,Panchkula,"Sector-6, Panchkula - Hspcb",2026-03-13 15:00:00,30.7057778,76.85318056,Pm2.5,14.0,80.0,40.0,2026,3,13,15,Friday,66.0,N/A,Summer
India,Haryana,Panipat,"Sector-18, Panipat - Hspcb",2026-03-13 15:00:00,29.432304,76.972765,No2,31.0,32.0,31.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Panipat,"Sector-18, Panipat - Hspcb",2026-03-13 15:00:00,29.432304,76.972765,So2,11.0,11.0,11.0,2026,3,13,15,Friday,0.0,N/A,Summer
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - Hspcb",2026-03-13 15:00:00,28.4501238,77.0263051,Pm2.5,213.0,213.0,213.0,2026,3,13,15,Friday,0.0,N/A,Summer
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - Hspcb",2026-03-13 15:00:00,28.4501238,77.0263051,Ozone,4.0,31.0,22.0,2026,3,13,15,Friday,27.0,N/A,Summer
India,Haryana,Hisar,"Urban Estate-Ii, Hisar - Hspcb",2026-03-13 15:00:00,29.14056,75.744941,Pm2.5,2.0,202.0,47.0,2026,3,13,15,Friday,200.0,N/A,Summer
India,Haryana,Hisar,"Urban Estate-Ii, Hisar - Hspcb",2026-03-13 15:00:00,29.14056,75.744941,No2,26.0,27.0,26.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Haryana,Hisar,"Urban Estate-Ii, Hisar - Hspcb",2026-03-13 15:00:00,29.14056,75.744941,So2,6.0,14.0,10.0,2026,3,13,15,Friday,8.0,N/A,Summer
