country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",13-03-2026 15:00,22.7289,75.8076,SO2,2,3,3
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",13-03-2026 15:00,22.431,75.5213,PM10,61,235,120
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",13-03-2026 15:00,23.168606,79.932247,NH3,3,6,4
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",13-03-2026 15:00,23.168606,79.932247,OZONE,22,85,63
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",13-03-2026 15:00,23.50016,80.23284,PM2.5,15,304,102
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",13-03-2026 15:00,23.50016,80.23284,PM10,44,348,141
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",13-03-2026 15:00,23.50016,80.23284,CO,9,120,28
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",13-03-2026 15:00,22.7084,75.8815,PM2.5,NA,NA,NA
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",13-03-2026 15:00,23.163174,79.973061,NH3,2,2,2
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",13-03-2026 15:00,23.163174,79.973061,CO,12,28,22
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",13-03-2026 15:00,26.203442,78.193251,CO,18,113,28
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",13-03-2026 15:00,26.259242,78.216432,CO,17,121,29
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",13-03-2026 15:00,23.233584,77.400574,SO2,8,28,17
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",13-03-2026 15:00,23.233584,77.400574,CO,20,123,36
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",13-03-2026 15:00,24.10897,82.64558,PM2.5,38,348,173
India,Madhya Pradesh,Ujjain,"Mahashweta Nagar, Ujjain - MPPCB",13-03-2026 15:00,23.1633321,75.800225,PM10,44,231,105
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",13-03-2026 15:00,22.9682591,76.064118,NH3,14,28,21
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",13-03-2026 15:00,19.863756,75.321188,SO2,11,30,16
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",13-03-2026 15:00,19.16485,73.23409,PM2.5,18,108,62
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",13-03-2026 15:00,20.939198,77.765701,PM2.5,37,141,70
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",13-03-2026 15:00,20.939198,77.765701,NH3,1,22,5
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",13-03-2026 15:00,19.8389439,75.244448,CO,2,109,14
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",13-03-2026 15:00,20.9402359,77.7895248,PM10,57,121,78
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",13-03-2026 15:00,19.87562,75.38731,SO2,4,37,10
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB",13-03-2026 15:00,19.215784,73.199781,NO2,21,139,65
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",13-03-2026 15:00,19.10122,74.73339,PM2.5,6,91,57
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",13-03-2026 15:00,19.16485,73.23409,NO2,13,34,23
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",13-03-2026 15:00,19.9629,79.298714,NH3,1,2,1
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",13-03-2026 15:00,19.9629,79.298714,SO2,15,38,27
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",13-03-2026 15:00,19.309073,73.057223,PM2.5,48,143,78
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",13-03-2026 15:00,19.309073,73.057223,PM10,64,143,99
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",13-03-2026 15:00,19.9775302,79.2337086,NH3,NA,NA,NA
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",13-03-2026 15:00,19.309073,73.057223,NH3,4,7,5
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",13-03-2026 15:00,19.0243902,73.0406721,SO2,3,20,11
